date,close
2026-05-01,10.00
2026-05-02,10.20
2026-05-03,10.10
2026-05-04,10.50
2026-05-05,10.80
2026-05-06,10.60
2026-05-07,11.00
2026-05-08,10.70
2026-05-09,11.20
2026-05-10,11.50
2026-05-11,11.30
2026-05-12,11.60
2026-05-13,11.90
2026-05-14,11.70
2026-05-15,12.10
2026-05-16,12.40
2026-05-17,12.20
2026-05-18,12.00
2026-05-19,11.80
2026-05-20,12.30
2026-05-21,12.60
2026-05-22,12.90
2026-05-23,12.70
2026-05-24,13.10
2026-05-25,13.40
2026-05-26,13.20
2026-05-27,13.60
2026-05-28,13.90
2026-05-29,13.70
2026-05-30,14.10
